uuid,name,component_type,catalog_name,equipment_class,r11,r22,r33,x11,x22,x33,r_matrix_units,x_matrix_units,c_matrix_units,ampacity_value,ampacity_units,construction
dadd1491-5161-4572-9d03-cdc76fbee9fa,3p_oh_code_3_1,MatrixImpedanceBranchEquipment,,,0.224646333333333,0.224646333333333,0.224646333333333,0.631065,0.631065,0.631065,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,480,ampere,OVERHEAD
4cea055a-b1f0-458d-8e2b-f19afdb269cb,3p_oh_code_3_2,MatrixImpedanceBranchEquipment,,,0.224646333333333,0.224646333333333,0.224646333333333,0.631065,0.631065,0.631065,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,960,ampere,OVERHEAD
9b0508d1-93f8-4213-8d86-0a680cddc632,3p_oh_code_3_3,MatrixImpedanceBranchEquipment,,,0.224646333333333,0.224646333333333,0.224646333333333,0.631065,0.631065,0.631065,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,1200,ampere,OVERHEAD
de8290a5-781c-4ccb-b2ad-a59cf40b2ea6,breaker_69kv_3,MatrixImpedanceBranchEquipment,,,1.0e-05,1.0e-05,1.0e-05,1.0e-05,1.0e-05,1.0e-05,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,900,ampere,OVERHEAD
261aa09b-1772-4f49-88e0-5c8ac92f69c0,breaker_13kv_3,MatrixImpedanceBranchEquipment,,,1.0e-05,1.0e-05,1.0e-05,1.0e-05,1.0e-05,1.0e-05,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,1200,ampere,OVERHEAD
f4923981-68d8-43c7-8bee-7a7218d651e7,breaker_13kv_3_1,MatrixImpedanceBranchEquipment,,,1.0e-05,1.0e-05,1.0e-05,1.0e-05,1.0e-05,1.0e-05,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,1500,ampere,OVERHEAD
98a44b9c-1552-4a2d-9f7c-2ff413826575,1p_ug_al_1/0_brenau_2,MatrixImpedanceBranchEquipment,,,0.9149,0.9149,,0.4972667,0.4972667,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,205,ampere,OVERHEAD
4be26432-a726-4be8-9c6b-0f6beb7a3640,1p_oh_al_4/0_zuzara_2,MatrixImpedanceBranchEquipment,,,0.4728,0.4728,,0.213533333333333,0.213533333333333,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,115,ampere,OVERHEAD
6708c1ce-30a0-4651-b022-b5340eb59a34,1p_ug_al_4/0_sweetbriar_2,MatrixImpedanceBranchEquipment,,,0.5462333,0.5462333,,0.2976,0.2976,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,301,ampere,OVERHEAD
ffd542e8-118a-49a7-96b3-12388109daa9,1p_ug_al_2/0_converse_2,MatrixImpedanceBranchEquipment,,,0.7793333,0.7793333,,0.4209333,0.4209333,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,233,ampere,OVERHEAD
cb58d30d-c8db-4365-a68b-2c14843a4f89,1p_oh_al_2/0_rucina_2,MatrixImpedanceBranchEquipment,,,0.716633333333333,0.716633333333333,,0.288833333333333,0.288833333333333,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,115,ampere,OVERHEAD
daeffc0b-1225-4c4d-bbbd-58ee355043f0,1p_oh_al_2/0_rucina_2_1,MatrixImpedanceBranchEquipment,,,0.716633333333333,0.716633333333333,,0.288833333333333,0.288833333333333,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,300,ampere,OVERHEAD
