branch_name,phase_code,from_bus,to_bus,equipment,length_value_original,length_units_original,length_km,geometry,r11,r22,r33,x11,x22,x33,ampacity_value,construction,in_service
sb2_p1uhs0_1247_68,ABC,sb2_p1uhs0_1247_bus_2_5,p1udt22170-p1uhs0_1247x,3p_oh_code_3_1,0.003023488,kilometer,0.003023488,"LINESTRING(-97.7125151492953 30.4190773974515, -97.712438972456 30.4188856814345)",0.224646333333333,0.224646333333333,0.224646333333333,0.631065,0.631065,0.631065,480,OVERHEAD,1
sb2_p1uhs0_1247_69,ABC,sb2_p1uhs0_1247_bus_2_6,p1udt12703-p1uhs0_1247x,3p_oh_code_3_2,0.003023488,kilometer,0.003023488,"LINESTRING(-97.7121217291461 30.4190735168906, -97.7120455530877 30.4188818006661)",0.224646333333333,0.224646333333333,0.224646333333333,0.631065,0.631065,0.631065,960,OVERHEAD,1
sb2_p1uhs0_1247_67,ABC,sb2_p1uhs0_1247_bus_2_4,p1udt2142-p1uhs0_1247x,3p_oh_code_3_3,0.003023488,kilometer,0.003023488,"LINESTRING(-97.7128692274949 30.4190808889432, -97.7127930499529 30.418889173113)",0.224646333333333,0.224646333333333,0.224646333333333,0.631065,0.631065,0.631065,1200,OVERHEAD,1
l(r:p1udt276lv-p1ulv29391),S1S2,p1udt276lv,p1ulv29391,1p_ug_al_1/0_brenau_2,0.0168388,kilometer,0.0168388,"LINESTRING(-97.715336295716 30.4318279364664, -97.7153232961152 30.4319940990806)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm971-p1ulv279),S1S2,p1udm971,p1ulv279,1p_ug_al_1/0_brenau_2,0.0172116,kilometer,0.0172116,"LINESTRING(-97.7152944280775 30.4318133568663, -97.7153897832107 30.4316879747914)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm971-p1udt276lv),S1S2,p1udt276lv,p1udm971,1p_ug_al_1/0_brenau_2,0.00891373,kilometer,0.00891373,"LINESTRING(-97.715336295716 30.4318279364664, -97.7152944280775 30.4318133568663)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udt277lv-p1ulv280),S1S2,p1udt277lv,p1ulv280,1p_oh_al_4/0_zuzara_2,0.0293886,kilometer,0.0293886,"LINESTRING(-97.7130057356135 30.4343110330936, -97.7127261705092 30.4341909782781)",0.4728,0.4728,,0.213533333333333,0.213533333333333,,115,OVERHEAD,1
l(r:p1udt285lv-p1ulv288),S1S2,p1udt285lv,p1ulv288,1p_ug_al_4/0_sweetbriar_2,0.0425583,kilometer,0.0425583,"LINESTRING(-97.7289361456559 30.420154458386, -97.7288513394196 30.4205772006008)",0.5462333,0.5462333,,0.2976,0.2976,,301,OVERHEAD,1
l(r:p1udt285lv-p1ulv44605),S1S2,p1udt285lv,p1ulv44605,1p_ug_al_1/0_brenau_2,0.0143455,kilometer,0.0143455,"LINESTRING(-97.7289361456559 30.420154458386, -97.7288651411506 30.4203156696885)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udt285lv-p1ulv63844),S1S2,p1udt285lv,p1ulv63844,1p_ug_al_1/0_brenau_2,0.0166863,kilometer,0.0166863,"LINESTRING(-97.7289361456559 30.420154458386, -97.7289206992307 30.4200455223939)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm995-p1ulv54648),S1S2,p1udm995,p1ulv54648,1p_ug_al_1/0_brenau_2,0.0165065,kilometer,0.0165065,"LINESTRING(-97.728988245137 30.4202560987926, -97.7290766134652 30.4200650862636)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm995-p1udt285lv),S1S2,p1udt285lv,p1udm995,1p_ug_al_1/0_brenau_2,0.00970823,kilometer,0.00970823,"LINESTRING(-97.7289361456559 30.420154458386, -97.728988245137 30.4202560987926)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
