bus_name,phase_code,nominal_voltage_kv,voltage_type,geometry,in_service
p1uhs0_69,ABC,39.8371685740842,line-to-ground,POINT(-97.7125800450079 30.4201283433809),1
sb2_p1uhs0_1247_bus_2_5,ABC,7.19955785679463,line-to-ground,POINT(-97.7125151492953 30.4190773974515),1
p1udt22170-p1uhs0_1247x,ABC,7.19955785679463,line-to-ground,POINT(-97.712438972456 30.4188856814345),1
sb2_p1uhs0_1247_bus_2_6,ABC,7.19955785679463,line-to-ground,POINT(-97.7121217291461 30.4190735168906),1
p1udt12703-p1uhs0_1247x,ABC,7.19955785679463,line-to-ground,POINT(-97.7120455530877 30.4188818006661),1
sb2_p1uhs0_1247_bus_2_4,ABC,7.19955785679463,line-to-ground,POINT(-97.7128692274949 30.4190808889432),1
p1udt2142-p1uhs0_1247x,ABC,7.19955785679463,line-to-ground,POINT(-97.7127930499529 30.418889173113),1
sb2_p1uhs0_1247_node_2_18,ABC,39.8371685740842,line-to-ground,POINT(-97.7123294908891 30.419732007525),1
sb2_p1uhs0_1247_node_2_10,ABC,39.8371685740842,line-to-ground,POINT(-97.7123302744762 30.4196723387843),1
sb2_p1uhs0_1247_node_2_13,ABC,7.19955785679463,line-to-ground,POINT(-97.7124923443999 30.4193158784485),1
sb2_p1uhs0_1247_node_2_16,ABC,7.19955785679463,line-to-ground,POINT(-97.7124942247361 30.4191726734514),1
sb2_p1uhs0_1247_bus_2_2,ABC,7.19955785679463,line-to-ground,POINT(-97.7127855303579 30.419461993174),1
sb2_p1uhs0_1247_node_2_11,ABC,7.19955785679463,line-to-ground,POINT(-97.7123312147777 30.4196007362946),1
sb2_p1uhs0_1247_node_2_15,ABC,7.19955785679463,line-to-ground,POINT(-97.7127302770897 30.4191750012636),1
sb2_p1uhs0_1247_node_2_12,ABC,7.19955785679463,line-to-ground,POINT(-97.7127283970981 30.4193182062739),1
sb2_p1uhs0_1247_node_2_17,ABC,7.19955785679463,line-to-ground,POINT(-97.7121008042079 30.4191687928165),1
sb2_p1uhs0_1247_node_2_6,ABC,39.8371685740842,line-to-ground,POINT(-97.7125831787822 30.4198896684055),1
sb2_p1uhs0_1247_bus_2_1,ABC,39.8371685740842,line-to-ground,POINT(-97.7127024592069 30.419795362312),1
sb2_p1uhs0_1247_node_2_5,ABC,39.8371685740842,line-to-ground,POINT(-97.7125812985221 30.4200328733918),1
