uuid,name,component_type,r11,r22,r33,x11,x22,x33,r_matrix_units,x_matrix_units,c_matrix_units,ampacity_value,ampacity_units,construction,delay_value,delay_units,tcc_curve_name,tcc_curve_x_units,tcc_curve_y_units,catalog_name,equipment_class
f54f6a81-6c5a-4051-a325-90a909ef2dd8,5f595c94-a3ff-49a8-8944-30132c63b779,MatrixImpedanceFuseEquipment,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,151,ampere,OVERHEAD,0,second,,ampere,second,,
5cdae308-ff46-4204-9642-515045e1600c,ac811f64-946b-4e3e-b9f1-5e66c365b3d4,MatrixImpedanceFuseEquipment,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,295,ampere,OVERHEAD,0,second,,ampere,second,,
b6bef7ec-326b-49e8-b3c9-a8a9ac9c6b00,532bd6e7-70e1-4d76-bdbb-73a2341937bb,MatrixImpedanceFuseEquipment,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,325,ampere,OVERHEAD,0,second,,ampere,second,,
f3f6f736-bc70-45ba-b6fd-2c1690e8beb7,662c17e4-e099-462f-9c46-429d65007d70,MatrixImpedanceFuseEquipment,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,301,ampere,OVERHEAD,0,second,,ampere,second,,
8111e46c-d9b3-40c2-887c-e0335a71e01c,d8a15fcb-d8a7-4e26-bfc3-b4447ea1e7b3,MatrixImpedanceFuseEquipment,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,370,ampere,OVERHEAD,0,second,,ampere,second,,
d96d01ed-2663-4cff-ac3e-ad5a590875da,86bd2792-d9c8-4fba-9ec0-f1dd3f37f467,MatrixImpedanceFuseEquipment,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,445,ampere,OVERHEAD,0,second,,ampere,second,,
677311c2-755a-4170-b1fd-939f90ccba5c,b0df3d45-848e-4a8d-98f5-7f58b93bd8be,MatrixImpedanceFuseEquipment,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,205,ampere,OVERHEAD,0,second,,ampere,second,,
b4e41571-6be4-4d90-87e4-bfc809d7730d,277e98b0-8a9c-4ed4-8f54-a249ad59528d,MatrixImpedanceFuseEquipment,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,165,ampere,OVERHEAD,0,second,,ampere,second,,
92709208-dde7-43bc-af7c-e38c022c9ea1,e10d58b0-d31a-4da3-82d6-bbb7cdf27066,MatrixImpedanceFuseEquipment,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,115,ampere,OVERHEAD,0,second,,ampere,second,,
a9f7e0f4-de39-4788-95d6-10593a455ab5,37ca7fa1-3a1d-4cb5-b6fc-96dbb9f9235d,MatrixImpedanceFuseEquipment,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,475,ampere,OVERHEAD,0,second,,ampere,second,,
