fuse_name,phase_code,from_bus,to_bus,geometry,r11,r22,r33,x11,x22,x33,ampacity_value,construction,delay_value,delay_units,tcc_curve_name,in_service
fuse(r:p1udt13654-p1udt302)p1u_266051,B,p1udt302,p1udt13654-p1udt302xxx,"LINESTRING(-97.7252182799774 30.4155486919044, -97.7252289883429 30.4155022500562)",0.001,,,0.001,,,151,OVERHEAD,0,second,,1
fuse(r:p1udt15523-p1udt302)p1u_266052,C,p1udt302,p1udt15523-p1udt302xxx,"LINESTRING(-97.7252182799774 30.4155486919044, -97.7252670151872 30.4155701206205)",0.001,,,0.001,,,151,OVERHEAD,0,second,,1
fuse(r:p1udt306-p1udt7180)p1u_266053,B,p1udt306,p1udt306-p1udt7180x,"LINESTRING(-97.7268331569612 30.4199601002868, -97.7268285708222 30.4200082806041)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt13950-p1udt306)p1u_266054,A,p1udt306,p1udt13950-p1udt306xxx,"LINESTRING(-97.7268331569612 30.4199601002868, -97.7268666627219 30.419921425633)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt1536-p1udt4302)p1u_266169,A,p1udt1536,p1udt1536-p1udt4302x,"LINESTRING(-97.7142634701407 30.4272350852922, -97.7142186609245 30.4272094899742)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt3261-p1udt3768)p1u_266327,C,p1udt3261,p1udt3261-p1udt3768x,"LINESTRING(-97.7154743158001 30.4301794518226, -97.7154295049348 30.430153856884)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt3280-p1udt6301)p1u_266328,C,p1udt3280,p1udt3280-p1udt6301x,"LINESTRING(-97.7236236545519 30.4125168873925, -97.7236017591594 30.4125577236304)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt5318-p1udt5822)p1u_266510,C,p1udt5318,p1udt5318-p1udt5822x,"LINESTRING(-97.7204020429193 30.4147269930132, -97.7204421834068 30.4147601389949)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt5318-p1udt8016)p1u_266511,C,p1udt5318,p1udt5318-p1udt8016x,"LINESTRING(-97.7204020429193 30.4147269930132, -97.7204455025535 30.4146973824121)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt298-p1udt5810)p1u_266549,C,p1udt5810,p1udt298-p1udt5810xxx,"LINESTRING(-97.7144273643024 30.4268994218576, -97.714443646315 30.4268551128602)",0.001,,,0.001,,,301,OVERHEAD,0,second,,1
