load_name,phase_code,bus,geometry,connection_type,real_power_value,real_power_units,reactive_power_value,reactive_power_units,z_real,z_imag,i_real,i_imag,p_real,p_imag,num_customers,in_service
load_p1ulv279_1,S1,p1ulv279,POINT(-97.7153897832107 30.4316879747914),STAR,5.26235642792599,kilowatt,1.57227226843026,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv279_2,S2,p1ulv279,POINT(-97.7153897832107 30.4316879747914),STAR,5.26235642792599,kilowatt,1.57227226843026,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv280_1,S1,p1ulv280,POINT(-97.7127261705092 30.4341909782781),STAR,4.7531884993111,kilowatt,0.929860477936982,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv280_2,S2,p1ulv280,POINT(-97.7127261705092 30.4341909782781),STAR,4.7531884993111,kilowatt,0.929860477936982,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv288_1,S1,p1ulv288,POINT(-97.7288513394196 30.4205772006008),STAR,11.1674438841712,kilowatt,4.22549986406152,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv288_2,S2,p1ulv288,POINT(-97.7288513394196 30.4205772006008),STAR,11.1674438841712,kilowatt,4.22549986406152,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv295_1,S1,p1ulv295,POINT(-97.7285377253104 30.4279007704502),STAR,4.92364407970926,kilowatt,1.2162147374432,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv295_2,S2,p1ulv295,POINT(-97.7285377253104 30.4279007704502),STAR,4.92364407970926,kilowatt,1.2162147374432,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv301_1,S1,p1ulv301,POINT(-97.7139079063152 30.4263859589955),STAR,6.88677019439032,kilowatt,1.80490069831223,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv301_2,S2,p1ulv301,POINT(-97.7139079063152 30.4263859589955),STAR,6.88677019439032,kilowatt,1.80490069831223,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv304_1,S1,p1ulv304,POINT(-97.7270728019644 30.4143007845526),STAR,5.88165808837383,kilowatt,1.69027504739921,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv304_2,S2,p1ulv304,POINT(-97.7270728019644 30.4143007845526),STAR,5.88165808837383,kilowatt,1.69027504739921,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv305_1,S1,p1ulv305,POINT(-97.7249902627261 30.415658137807),STAR,5.43099681453767,kilowatt,1.58787249114819,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv305_2,S2,p1ulv305,POINT(-97.7249902627261 30.415658137807),STAR,5.43099681453767,kilowatt,1.58787249114819,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv306_1,S1,p1ulv306,POINT(-97.7272418426591 30.4162395296812),STAR,11.0527277913833,kilowatt,0.697642039858908,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv306_2,S2,p1ulv306,POINT(-97.7272418426591 30.4162395296812),STAR,11.0527277913833,kilowatt,0.697642039858908,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv308_1,S1,p1ulv308,POINT(-97.7286770623904 30.418761892129),STAR,3.19594065137055,kilowatt,1.39122252965524,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
