uuid,name,component_type,catalog_name,equipment_class,r11,r22,r33,x11,x22,x33,r_matrix_units,x_matrix_units,c_matrix_units,ampacity_value,ampacity_units,construction,controller_uuid
9a8cc0e7-85cc-49b0-a83a-cdb45d837733,20d00c9a-cdbf-4145-8aa2-e916a9272eba,MatrixImpedanceSwitchEquipment,,,1,1,1,1,1,1,ohm / meter,ohm / meter,nanofarad / meter,900,ampere,OVERHEAD,
78f5cba2-bedf-443d-81d4-0fcfbe30e611,3578ddd1-9d31-4483-a917-0058be90ed36,MatrixImpedanceSwitchEquipment,,,1,1,1,1,1,1,ohm / meter,ohm / meter,nanofarad / meter,1200,ampere,OVERHEAD,
557f2fd8-a0f7-4e21-86e0-518eb1966da0,82dd78a9-03af-415f-9999-8f56f440feb8,MatrixImpedanceSwitchEquipment,,,1,1,1,1,1,1,ohm / meter,ohm / meter,nanofarad / meter,1500,ampere,OVERHEAD,
6d2e9c35-f9bb-4c61-a9cd-c50c97669fa4,9aa5d65e-e8fd-4d58-8ae2-9639033a30cf,MatrixImpedanceSwitchEquipment,,,0.001,,,0.001,,,ohm / meter,ohm / meter,nanofarad / meter,151,ampere,OVERHEAD,
010bee9a-bbda-4b2f-86df-5be05a1a0476,efb60d3c-dc90-4040-89a7-d279e07ff40a,MatrixImpedanceSwitchEquipment,,,0.001,,,0.001,,,ohm / meter,ohm / meter,nanofarad / meter,301,ampere,OVERHEAD,
3b0b1918-7132-4b49-b20a-f48d56f5a5db,67e282a2-3a1b-40ec-9119-c3c04f4f365b,MatrixImpedanceSwitchEquipment,,,0.001,,,0.001,,,ohm / meter,ohm / meter,nanofarad / meter,205,ampere,OVERHEAD,
24588dea-6b36-453c-a9d6-566f00850f87,8f7609bd-cf85-4a8a-86a0-87589789f63e,MatrixImpedanceSwitchEquipment,,,0.001,,,0.001,,,ohm / meter,ohm / meter,nanofarad / meter,165,ampere,OVERHEAD,
741462da-7d3d-47a7-87af-124b5f6c9cd7,57cff28a-d027-4eec-8739-a0291cffb5f2,MatrixImpedanceSwitchEquipment,,,0.001,,,0.001,,,ohm / meter,ohm / meter,nanofarad / meter,115,ampere,OVERHEAD,
ee6f7f07-a89f-4cef-8923-2a628cfe720a,fcf0838e-559e-4ff4-8d5e-c3a774f42e44,MatrixImpedanceSwitchEquipment,,,1,1,1,1,1,1,ohm / meter,ohm / meter,nanofarad / meter,295,ampere,OVERHEAD,
4804d497-1778-4f0b-b03c-f8c1cf5bff10,d6d40478-ca78-4173-add1-52d8a7b154c7,MatrixImpedanceSwitchEquipment,,,1,1,1,1,1,1,ohm / meter,ohm / meter,nanofarad / meter,325,ampere,OVERHEAD,
b53222dd-c711-404c-9475-a620ac437335,27146976-8a80-415b-a2aa-6a73393ea288,MatrixImpedanceSwitchEquipment,,,1,1,1,1,1,1,ohm / meter,ohm / meter,nanofarad / meter,390,ampere,OVERHEAD,
0f044a1d-85ab-4a1b-9262-8a44ac3ca43d,89cb0864-8b82-4de5-88b9-21935d458365,MatrixImpedanceSwitchEquipment,,,0.001,,,0.001,,,ohm / meter,ohm / meter,nanofarad / meter,233,ampere,OVERHEAD,
9a3b17a2-1b89-463c-82f0-03bb079b14b4,7ada84f9-84ab-4f80-8d50-71008c349a44,MatrixImpedanceSwitchEquipment,,,1,1,1,1,1,1,ohm / meter,ohm / meter,nanofarad / meter,525,ampere,OVERHEAD,
274c0651-fcf2-442d-a687-3ab78fdb460e,77180f66-c285-4742-9b7e-861cd82d3131,MatrixImpedanceSwitchEquipment,,,1,1,1,1,1,1,ohm / meter,ohm / meter,nanofarad / meter,445,ampere,OVERHEAD,
ee4c0eea-d657-4c27-95e3-2a9c30949a48,719e9970-4a02-422f-ac0b-4869202bbbe3,MatrixImpedanceSwitchEquipment,,,1,1,1,1,1,1,ohm / meter,ohm / meter,nanofarad / meter,550,ampere,OVERHEAD,
5e814924-9aee-4733-87ac-4f33307eb0e9,1d1a81fe-8232-4c4f-b659-1a45572fb971,MatrixImpedanceSwitchEquipment,,,1,1,1,1,1,1,ohm / meter,ohm / meter,nanofarad / meter,595,ampere,OVERHEAD,
98880c3e-26ee-4453-b853-7745f33a04d0,370a04d8-3a69-4ceb-9e5a-0456a1d8bf63,MatrixImpedanceSwitchEquipment,,,1,1,1,1,1,1,ohm / meter,ohm / meter,nanofarad / meter,960,ampere,OVERHEAD,
3043a47b-b111-499e-8f6f-ee8730d82056,a5d9e2ff-e541-40a7-96cb-f47052c94979,MatrixImpedanceSwitchEquipment,,,1,1,1,1,1,1,ohm / meter,ohm / meter,nanofarad / meter,301,ampere,OVERHEAD,
b59281ba-475a-4ac0-a5f8-f2ffa333ee29,bcec8a95-2aab-491c-a167-7396258bf1c3,MatrixImpedanceSwitchEquipment,,,1,1,1,1,1,1,ohm / meter,ohm / meter,nanofarad / meter,151,ampere,OVERHEAD,
3b337f89-e2e2-4bc4-9c7c-85e41de893cc,538674bc-6535-4d20-a054-9b9c604078a3,MatrixImpedanceSwitchEquipment,,,1,1,1,1,1,1,ohm / meter,ohm / meter,nanofarad / meter,205,ampere,OVERHEAD,
5195779e-236e-4219-8eee-981d5ae893cd,1fb40ff4-e39f-4e7c-9af5-c5096baf225a,MatrixImpedanceSwitchEquipment,,,1,1,1,1,1,1,ohm / meter,ohm / meter,nanofarad / meter,370,ampere,OVERHEAD,
452ac6c9-d2b5-4c4a-a3b5-b521a4c0a566,bee7ab2f-6336-47ce-b175-0a23691181f3,MatrixImpedanceSwitchEquipment,,,1,1,1,1,1,1,ohm / meter,ohm / meter,nanofarad / meter,475,ampere,OVERHEAD,
