switch_name,phase_code,from_bus,to_bus,geometry,r11,r22,r33,x11,x22,x33,ampacity_value,construction,controller_uuid,in_service
sb2_p1uhs0_1247_364,ABC,sb2_p1uhs0_1247_node_2_18,sb2_p1uhs0_1247_node_2_10,"LINESTRING(-97.7123294908891 30.419732007525, -97.7123302744762 30.4196723387843)",1,1,1,1,1,1,900,OVERHEAD,,1
sb2_p1uhs0_1247_58,ABC,sb2_p1uhs0_1247_node_2_13,sb2_p1uhs0_1247_node_2_16,"LINESTRING(-97.7124923443999 30.4193158784485, -97.7124942247361 30.4191726734514)",1,1,1,1,1,1,1200,OVERHEAD,,1
sb2_p1uhs0_1247_362,ABC,sb2_p1uhs0_1247_bus_2_2,sb2_p1uhs0_1247_node_2_11,"LINESTRING(-97.7127855303579 30.419461993174, -97.7123312147777 30.4196007362946)",1,1,1,1,1,1,1500,OVERHEAD,,1
sb2_p1uhs0_1247_60,ABC,sb2_p1uhs0_1247_node_2_15,sb2_p1uhs0_1247_bus_2_4,"LINESTRING(-97.7127302770897 30.4191750012636, -97.7128692274949 30.4190808889432)",1,1,1,1,1,1,1200,OVERHEAD,,1
sb2_p1uhs0_1247_356,ABC,sb2_p1uhs0_1247_node_2_12,sb2_p1uhs0_1247_bus_2_2,"LINESTRING(-97.7127283970981 30.4193182062739, -97.7127855303579 30.419461993174)",1,1,1,1,1,1,1200,OVERHEAD,,1
sb2_p1uhs0_1247_62,ABC,sb2_p1uhs0_1247_node_2_17,sb2_p1uhs0_1247_bus_2_6,"LINESTRING(-97.7121008042079 30.4191687928165, -97.7121217291461 30.4190735168906)",1,1,1,1,1,1,1200,OVERHEAD,,1
sb2_p1uhs0_1247_44,ABC,sb2_p1uhs0_1247_node_2_6,sb2_p1uhs0_1247_bus_2_1,"LINESTRING(-97.7125831787822 30.4198896684055, -97.7127024592069 30.419795362312)",1,1,1,1,1,1,900,OVERHEAD,,1
sb2_p1uhs0_1247_43,ABC,sb2_p1uhs0_1247_node_2_5,sb2_p1uhs0_1247_node_2_6,"LINESTRING(-97.7125812985221 30.4200328733918, -97.7125831787822 30.4198896684055)",1,1,1,1,1,1,900,OVERHEAD,,1
sb2_p1uhs0_1247_355,ABC,sb2_p1uhs0_1247_node_2_13,sb2_p1uhs0_1247_bus_2_2,"LINESTRING(-97.7124923443999 30.4193158784485, -97.7127855303579 30.419461993174)",1,1,1,1,1,1,1200,OVERHEAD,,1
sb2_p1uhs0_1247_57,ABC,sb2_p1uhs0_1247_node_2_12,sb2_p1uhs0_1247_node_2_15,"LINESTRING(-97.7127283970981 30.4193182062739, -97.7127302770897 30.4191750012636)",1,1,1,1,1,1,1200,OVERHEAD,,1
sb2_p1uhs0_1247_61,ABC,sb2_p1uhs0_1247_node_2_16,sb2_p1uhs0_1247_bus_2_5,"LINESTRING(-97.7124942247361 30.4191726734514, -97.7125151492953 30.4190773974515)",1,1,1,1,1,1,1200,OVERHEAD,,1
sb2_p1uhs0_1247_357,ABC,sb2_p1uhs0_1247_node_2_14,sb2_p1uhs0_1247_bus_2_2,"LINESTRING(-97.7120989232976 30.4193119977915, -97.7127855303579 30.419461993174)",1,1,1,1,1,1,1200,OVERHEAD,,1
sb2_p1uhs0_1247_59,ABC,sb2_p1uhs0_1247_node_2_14,sb2_p1uhs0_1247_node_2_17,"LINESTRING(-97.7120989232976 30.4193119977915, -97.7121008042079 30.4191687928165)",1,1,1,1,1,1,1200,OVERHEAD,,1
sb2_p1uhs0_1247_351,ABC,sb2_p1uhs0_1247_node_2_5,p1uhs0_69,"LINESTRING(-97.7125812985221 30.4200328733918, -97.7125800450079 30.4201283433809)",1,1,1,1,1,1,900,OVERHEAD,,1
sb2_p1uhs0_1247_353,ABC,sb2_p1uhs0_1247_node_2_18,sb2_p1uhs0_1247_bus_2_1,"LINESTRING(-97.7123294908891 30.419732007525, -97.7127024592069 30.419795362312)",1,1,1,1,1,1,900,OVERHEAD,,1
padswitch(r:p1udt7188-p1udt9596)p1u_233215,B,p1udt7188,p1udt7188-p1udt9596x,"LINESTRING(-97.7114340968325 30.4268049008765, -97.7114859365503 30.4267934842054)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt7188-p1udt9596)p1u_233216,B,p1udt7188-p1udt9596xx,p1udt9596,"LINESTRING(-97.7115345249348 30.4267818391801, -97.7115832455477 30.4267741796354)",0.001,,,0.001,,,301,OVERHEAD,,1
padswitch(r:p1udt21221-p1udt7188)p1u_233217,B,p1udt7188,p1udt21221-p1udt7188xx,"LINESTRING(-97.7114340968325 30.4268049008765, -97.7114083287232 30.4267622234202)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt21221-p1udt7188)p1u_233218,B,p1udt21221-p1udt7188x,p1udt21221,"LINESTRING(-97.7121190804935 30.4271803676645, -97.7120731469778 30.4271657775422)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt7188-p1udt8815)p1u_233219,B,p1udt8815,p1udt7188-p1udt8815xx,"LINESTRING(-97.710803249831 30.4265356554735, -97.7107740861992 30.4264965307091)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt7188-p1udt8815)p1u_233220,B,p1udt7188-p1udt8815x,p1udt7188,"LINESTRING(-97.7113826653452 30.4268162959273, -97.7114340968325 30.4268049008765)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt2696-p1udt3303)p1u_233221,B,p1udt3303,p1udt2696-p1udt3303xx,"LINESTRING(-97.7114544143355 30.4276882089084, -97.711406249208 30.4277050496343)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt2696-p1udt3303)p1u_233222,B,p1udt2696-p1udt3303x,p1udt2696,"LINESTRING(-97.7119512296691 30.4280720916749, -97.7119048900816 30.4280856848286)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt1561-p1udt3303)p1u_233223,B,p1udt1561,p1udt1561-p1udt3303x,"LINESTRING(-97.7110309009398 30.4274313860924, -97.7110379414116 30.4273867711921)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt1561-p1udt3303)p1u_233224,B,p1udt1561-p1udt3303xx,p1udt3303,"LINESTRING(-97.7114614546383 30.4276435939819, -97.7114544143355 30.4276882089084)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt1561-p1udt9194)p1u_233225,B,p1udt9194,p1udt1561-p1udt9194xx,"LINESTRING(-97.7106077458005 30.4271474967694, -97.7105595808087 30.4271643371875)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt1561-p1udt9194)p1u_233226,B,p1udt1561-p1udt9194x,p1udt1561,"LINESTRING(-97.7110720539251 30.4274588397121, -97.7110309009398 30.4274313860924)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt8815-p1udt9194)p1u_233227,B,p1udt8815,p1udt8815-p1udt9194x,"LINESTRING(-97.710803249831 30.4265356554735, -97.7108319927499 30.4265750499081)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt8815-p1udt9194)p1u_233228,B,p1udt8815-p1udt9194xx,p1udt9194,"LINESTRING(-97.7106488985459 30.4271749505169, -97.7106077458005 30.4271474967694)",0.001,,,0.001,,,151,OVERHEAD,,1
