transformer_name,phase_code,primary_bus,secondary_bus,tertiary_bus,geometry,primary_kva,primary_voltage_kv,secondary_voltage_kv,tertiary_voltage_kv,primary_connection,secondary_connection,tertiary_connection,primary_grounded,secondary_grounded,tertiary_grounded,resistance_pct,reactance_pct,equipment_no_load_loss,equipment_full_load_loss,is_center_tapped,in_service
sb2_p1uhs0_1247_trans_51,ABC,sb2_p1uhs0_1247_node_2_10,sb2_p1uhs0_1247_node_2_11,,POINT(-97.7123302744762 30.4196723387843),300000,39.838337182448,7.19976905311778,,DELTA,STAR,,0,0,,0.33831264,,0.0,0.67662528,0,1
tr(r:p1udt276-p1udt276lv),B,p1udt276,p1udt276lv,p1udt276lv,POINT(-97.7153747492833 30.4318541326013),25,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.472,0.798816,1,1
tr(r:p1udt277-p1udt277lv),A,p1udt277,p1udt277lv,p1udt277lv,POINT(-97.7129990841026 30.4342692036738),25,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.472,0.798816,1,1
tr(r:p1udt285-p1udt285lv),B,p1udt285,p1udt285lv,p1udt285lv,POINT(-97.7289291139386 30.4201990745471),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt292-p1udt292lv),C,p1udt292,p1udt292lv,p1udt292lv,POINT(-97.7284887074979 30.4276657769545),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt298-p1udt298lv),C,p1udt298,p1udt298lv,p1udt298lv,POINT(-97.7138329125783 30.4265475410854),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt301-p1udt301lv),C,p1udt301,p1udt301lv,p1udt301lv,POINT(-97.7270500533602 30.4141714855783),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt302-p1udt302lv),ABC,p1udt302,p1udt302lv,p1udt302lv,POINT(-97.7252182799774 30.4155486919044),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt303-p1udt303lv),B,p1udt303,p1udt303lv,p1udt303lv,POINT(-97.7271504696869 30.4160673215422),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt305-p1udt305lv),A,p1udt305,p1udt305lv,p1udt305lv,POINT(-97.7287183072812 30.4186050058554),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt306-p1udt306lv),ABC,p1udt306,p1udt306lv,p1udt306lv,POINT(-97.7268331569612 30.4199601002868),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
